id,rank,action,campaign,ad_group,term,match_type,clicks,spend,sales,term_cvr,account_cvr_lane,acos,current_bid,new_bid,placement,window,why
1,R1,pause_keyword,GG - Deodorant - Exact - SQR - CST,Exact,deodorant men,EXACT,96,113.18,0,0%,nonbrand ~26%,,,,,2026-07-06..09-04 ~60d ST,"Bleeders 1.0: exact KW = term, 96 clicks $0. Pause keyword only."
2,R1,pause_keyword,GG - SP - KW - Tallow Balm - B0CLF5B27Y - Exact 4,Exact,beef tallow moisturizer,EXACT,31,59.4,0,0%,nonbrand ~26%,,,,,2026-07-06..09-04 ~60d ST,Bleeders 1.0 exact KW $0.
3,R1,negative_exact,GG - Lip Balm - Asin Offense - Lip Balm Category,Asin Offense,dr dans cortibalm lip balm,TARGETING_EXPRESSION,32,58.55,0,0%,nonbrand ~26%,,,,,2026-07-06..09-04 ~60d ST,Competitor query $0 on offense. Neg Exact the search term.
4,R1,negative_exact,GG - Lip Balm - Broad M,Broad,all natural chapstick,BROAD,15,39.69,0,0%,nonbrand ~26%,,,,,2026-08-29..09-04 L7,L7 Command Brief P0 #1. Fresh zero-order waste.
5,R1,negative_exact,GG - Lip Balm - Exact - ChapStick related,Exact,chapstick natural,EXACT,10,38.89,0,0%,nonbrand ~26%,,,,,2026-08-29..09-04 L7,L7 P0 #2. If KW equals term pause instead of neg.
6,R1,negative_exact,SP | TBL - 3Pck | B0CLHTKY3V |  Auto | Loose Match-TOS | SSG,SP | TBL - 3Pck | B0CLHTKY3V |  Auto | Loose Match | SSG,eos lip balm,TARGETING_EXPRESSION_PREDEFINED,18,34.72,0,0%,nonbrand ~26%,,,,,2026-08-29..09-04 L7,L7 P0 #3 Auto Loose waste.
7,R1,negative_exact,SP - ASIN - COMP - Exact - Tallow Deodorant - B0CLHYY3BB -,B0CLHYY3BB,b0f7zfzd9z,TARGETING_EXPRESSION,16,31.36,0,0%,nonbrand ~26%,,,,,2026-08-29..09-04 L7,L7 P0 #4. Competitor ASIN query still $0 this week (60d had 1 order at 912% ACOS — treat as cut).
8,R1,negative_exact,SP | TBL - 3Pck | B0CLHTKY3V |  Auto | Loose Match-TOS | SSG,SP | TBL - 3Pck | B0CLHTKY3V |  Auto | Loose Match | SSG,aquaphor lip balm,TARGETING_EXPRESSION_PREDEFINED,16,31.06,0,0%,nonbrand ~26%,,,,,2026-08-29..09-04 L7,L7 P0 #5.
9,R1,negative_exact,GG - Lip Balm - Broad M,Broad,coconut oil lip balm,BROAD,23,46.47,0,0%,nonbrand ~26%,,,,,2026-07-06..09-04 ~60d ST,60d + L7 Broad waste. Neg Exact.
10,R1,negative_exact,GG - Deodorant - Exact - Low Volume,Exact,vanmans deodorant,EXACT,38,42.78,0,0%,nonbrand ~26%,,,,,2026-07-06..09-04 ~60d ST,Query ≠ KW spelling. Neg Exact vanmans deodorant.
