state_code,state_name,inventory_first,inventory_last,inventory_events,posture,posture_confidence,posture_citation,shopify_sales_12m,amazon_sales_12m,economic_nexus_status,economic_progress_pct,marketplace_counts_toward_threshold,is_registered,has_entity_tax_flag,entity_flag_types,triage_bucket,notes,sources
AK,Alaska,,,0,unknown,low,,127.91,3984.03,under,0.0,no,no,no,,B_monitor,,sales_by_state
AL,Alabama,2024-01-01,2026-08-15,1222,asserts,medium,Ala. Code § 40-23-68; Alabama DOR marketplace facilitator rules do not relieve seller of nexus from stored inventory.,784.99,19040.81,under,0.5,no,no,no,,A_discuss,Inventory in AL warehouses creates physical presence. Marketplace facilitator collection does not eliminate registration requirement.,"inventory_events, sales_by_state, fba_nexus_posture.json"
AR,Arkansas,2024-01-01,2026-07-30,207,carve_out,medium,Ark. Code § 26-52-117; Arkansas marketplace facilitator act. Grant Thornton 2024 summary: FBA inventory alone insufficient when MP collects.,1147.27,9145.45,under,1.7,no,no,no,,B_monitor,Arkansas marketplace facilitator provisions may shield FBA-only sellers. Verify with DFA.,"inventory_events, sales_by_state, fba_nexus_posture.json"
AZ,Arizona,2024-01-01,2026-08-16,4021,carve_out,high,Ariz. Rev. Stat. § 42-5043; Arizona TPT marketplace facilitator provision. Avalara guidance indicates FBA sellers shielded by MP provisions.,2473.39,53996.53,under,3.7,no,no,no,,B_monitor,Arizona marketplace facilitator law effectively carves out FBA-only sellers from registration obligation when Amazon collects.,"inventory_events, sales_by_state, fba_nexus_posture.json"
CA,California,2024-01-01,2026-08-16,14254,asserts,high,Cal. Rev. & Tax. Code § 6203(c); CDTFA Publication 156. Inventory stored in CA creates nexus regardless of marketplace facilitator collection.,10839.53,183662.94,under,58.0,yes,no,yes,franchise_tax,A_discuss,California clearly asserts that inventory stored in the state creates nexus. Also triggers $800 minimum LLC franchise tax under R&TC § 17941. | Entity tax: CRITICAL: California imposes an $800 minimum annual franchise tax on LLCs regist,"inventory_events, sales_by_state, franchise_tax_flags, fba_nexus_posture.json"
CO,Colorado,2024-01-01,2026-08-16,3692,asserts,medium,Colo. Rev. Stat. § 39-26-102(3); Colorado DOR guidance on physical presence. Inventory storage = physical presence.,3584.93,49902.47,under,5.2,no,no,no,,A_discuss,Colorado treats stored inventory as physical presence. Marketplace facilitator collection does not eliminate seller registration.,"inventory_events, sales_by_state, fba_nexus_posture.json"
CT,Connecticut,2024-01-01,2026-08-15,3007,asserts,medium,Conn. Gen. Stat. § 12-407(a)(15); Connecticut DRS marketplace facilitator guidance.,1082.39,20199.9,under,33.2,yes,no,no,,A_discuss,Connecticut treats inventory storage as establishing nexus. Marketplace facilitator provisions do not relieve seller nexus from physical presence.,"inventory_events, sales_by_state, fba_nexus_posture.json"
DC,District of Columbia,,,0,unknown,low,D.C. Code § 47-2001; DC OTR. No specific FBA guidance found.,226.9,979.71,under,2.1,yes,no,no,,B_monitor,DC has no known Amazon FCs. FBA inventory nexus position unclear.,"sales_by_state, fba_nexus_posture.json"
DE,Delaware,2024-02-01,2025-03-01,14,unknown,high,Delaware has no general sales tax.,307.77,5654.98,under,0.0,no,no,no,,B_monitor,Delaware has no general sales tax. FBA inventory nexus irrelevant for sales tax. Some gross receipts taxes exist.,"inventory_events, sales_by_state, fba_nexus_posture.json"
FL,Florida,2024-01-01,2026-08-16,9274,asserts,medium,Fla. Stat. § 212.06(2)(b); Florida DOR TAA 22A-013. Inventory stored in FL creates dealer status.,8025.15,137711.37,under,11.0,no,no,no,,A_discuss,"Florida treats inventory as establishing dealer nexus. Marketplace sales do not count toward seller's economic threshold, but physical presence from inventory is independent.","inventory_events, sales_by_state, fba_nexus_posture.json"
